ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
geez-937_flea-1,,geez,937_flea,gugā,gugaː,g u g aː,,,1688,,^ g u g aː $,default
ps-528_kindofbird-19,,ps,528_kindofbird,"*g(ʷ)amg(ʷ)am-, *gVmgVm-",gamgam-,g a m g a m,,,1689,,^ g a m g a m - $,default
akkadian-530_abird-7,,akkadian,530_abird,gamgammu,gamgammu,g a m g a m m u,,,1689,,^ g a m g a m m u $,default
geez-2209_pelican-1,,geez,2209_pelican,gumgumā,gumgumaː,g u m g u m aː,,,1689,,^ g u m g u m aː $,default
ps-2210_ant-1,,ps,2210_ant,*šumšum-,ʃumʃum-,ʃ u m ʃ u m,,,1690,,^ ʃ u m ʃ u m - $,default
syriac-2211_sesame-1,,syriac,2211_sesame,šawšmānā,ʃawʃmaːnaː,ʃ a w ʃ m aː n aː,,,1690,,^ ʃ a w ʃ m aː n aː $,default
arabic-2212_redant-1,,arabic,2212_redant,sumsum-,sumsum-,s u m s u m,,,1690,,^ s u m s u m - $,default
ps-2213_kindofsnakeworminsectlarvae-1,,ps,2213_kindofsnakeworminsectlarvae,*šVpp-,ʃ-pp-,ʃ p p,,,1691,,^ ʃ - p p - $,default
hebrew-2214_hornedviper-1,,hebrew,2214_hornedviper,šəpīpōn,ʃəpiːpoːn,ʃ ə p iː p oː n,,,1691,,^ ʃ ə p iː p oː n $,default
syriac-2215_serpentfieldcricketcreepinganimalcrawlinglocust-1,,syriac,2215_serpentfieldcricketcreepinganimalcrawlinglocust,šappāpā,ʃappaːpaː,ʃ a p p aː p aː,,,1691,,^ ʃ a p p aː p aː $,default
arabic-2216_serpentkindofsnakewithblackandwhitespots-1,,arabic,2216_serpentkindofsnakewithblackandwhitespots,siff-,siff-,s i f f,,,1691,,^ s i f f - $,default
ps-2203_kindofbirdofprey-1,,ps,2203_kindofbirdofprey,*ṣVl(Vl)-,sˤ-l-,sˤ l,,,1692,,^ sˤ - l - $,default
akkadian-2217_anocturnalbird-1,,akkadian,2217_anocturnalbird,ṣallalu,sˤallalu,sˤ a l l a l u,,,1692,,^ sˤ a l l a l u $,default
syriac-2218_birdwhichhuntsfish-1,,syriac,2218_birdwhichhuntsfish,ṣalṣūlā,sˤalsˤuːlaː,sˤ a l sˤ uː l aː,,,1692,,^ sˤ a l sˤ uː l aː $,default
geez-2219_kitebird-1,,geez,2219_kitebird,ṣilat,sˤilat,sˤ i l a t,,,1692,,^ sˤ i l a t $,default
ps-2220_backofneck-1,,ps,2220_backofneck,*gar(i)d-,gard-,g a r d,,,1693,,^ g a r d - $,default
arabic-2221_dosback-1,,arabic,2221_dosback,ǯarad-,garad-,g a r a d,,,1693,,^ g a r a d - $,default
arabic-2221_dosback-2,,arabic,2221_dosback,ˀaǯrad-,ʔagrad-,ʔ a g r a d,,,1693,,^ ʔ a g r a d - $,default
ps-986_throat-2,,ps,986_throat,*gargūm(-at)-,garguːm-,g a r g uː m,,,1694,,^ g a r g uː m - $,default
arabic-2222_amygdal-1,,arabic,2222_amygdal,g(a)rāǯəm,graːgəm,g r aː g ə m,,,1694,,^ g r aː g ə m $,default
arabic-2223_gorge-1,,arabic,2223_gorge,garǯūma,garguːma,g a r g uː m a,,,1694,,^ g a r g uː m a $,default
ps-2224_torsobody-1,,ps,2224_torsobody,*giŝŝ-,giɬɬ-,g i ɬ ɬ,,,1695,,^ g i ɬ ɬ - $,default
akkadian-2225_hipflank-1,,akkadian,2225_hipflank,giššu (gilšu),giʃʃu,g i ʃ ʃ u,,,1695,,^ g i ʃ ʃ u $,default
hebrew-2226_sidearm-1,,hebrew,2226_sidearm,gäsäs,gæsæs,g æ s æ s,,,1695,,^ g æ s æ s $,default
syriac-2227_hipsidegirdlearoundmalepubicareawheelsandaxles-1,,syriac,2227_hipsidegirdlearoundmalepubicareawheelsandaxles,gessā,gessaː,g e s s aː,,,1695,,^ g e s s aː $,default
arabic-2228_coeurameespritheartsoulspirit-1,,arabic,2228_coeurameespritheartsoulspirit,ǯaˀš-,gaʔʃ-,g a ʔ ʃ,,,1695,,^ g a ʔ ʃ - $,default
arabic-2229_poitrinebreast-1,,arabic,2229_poitrinebreast,ǯuˀšūš-,guʔʃuːʃ-,g u ʔ ʃ uː ʃ,,,1695,,^ g u ʔ ʃ uː ʃ - $,default
arabic-2230_milieududosvertebresdunebetedesommemiddleofthebackchine-1,,arabic,2230_milieududosvertebresdunebetedesommemiddleofthebackchine,ǯašš-,gaʃʃ-,g a ʃ ʃ,,,1695,,^ g a ʃ ʃ - $,default
arabic-2231_poitrinemilieuducorpsdelhommechestmidsection-1,,arabic,2231_poitrinemilieuducorpsdelhommechestmidsection,ǯawš-,gawʃ-,g a w ʃ,,,1695,,^ g a w ʃ - $,default
arabic-2232_poitrinechest-1,,arabic,2232_poitrinechest,ǯūš-,guːʃ-,g uː ʃ,,,1695,,^ g uː ʃ - $,default
ps-360_bodycorpse-1,,ps,360_bodycorpse,*gi/uṯṯ(-at)-,gi,g i,,,1696,,^ g i $,default
arabic-2233_corpstailleetvolumeducorpscadavrebodycorpse-1,,arabic,2233_corpstailleetvolumeducorpscadavrebodycorpse,ǯuṯṯat-,guθθat-,g u θ θ a t,,,1696,,^ g u θ θ a t - $,default
arabic-2234_cadavredesauterelledeadlocust-1,,arabic,2234_cadavredesauterelledeadlocust,ǯuṯṯ-,guθθ-,g u θ θ,,,1696,,^ g u θ θ - $,default
arabic-2235_corpsobjetsaillantbodyprotrudingobject-1,,arabic,2235_corpsobjetsaillantbodyprotrudingobject,ǯaṯwat-,gaθwat-,g a θ w a t,,,1696,,^ g a θ w a t - $,default
ps-2236_cricketlocust-1,,ps,2236_cricketlocust,*ga(n)dab-,gadab-,g a d a b,,,1698,,^ g a d a b - $,default
arabic-2237_especedesauterellespeciesoflocust-1,,arabic,2237_especedesauterellespeciesoflocust,"ǯandab-, ǯundub-",gandab-,g a n d a b,,,1698,,^ g a n d a b - $,default
ps-2238_breastbonesideofbody-1,,ps,2238_breastbonesideofbody,*g(ʷ)ann-,gann-,g a n n,,,1701,,^ g a n n - $,default
arabic-2239_chestbonessternumbreastbone-1,,arabic,2239_chestbonessternumbreastbone,"ǯanǯan(-at)-, ǯinǯin-",gangan-,g a n g a n,,,1701,,^ g a n g a n - $,default
ps-2240_bosomchestdewlap-1,,ps,2240_bosomchestdewlap,*γa/ub(a)b-,ɣa,ɣ a,,,1703,,^ ɣ a $,default
syriac-2241_bosom-1,,syriac,2241_bosom,ˁubbā,ʕubbaː,ʕ u b b aː,,,1703,,^ ʕ u b b aː $,default
arabic-2242_hangingfleshunderthechinofsomeanimalsdewlapofoxenbeardofcockthroatofhumans-1,,arabic,2242_hangingfleshunderthechinofsomeanimalsdewlapofoxenbeardofcockthroatofhumans,γabab-,ɣabab-,ɣ a b a b,,,1703,,^ ɣ a b a b - $,default
arabic-2243_dewlapbeardthroat-1,,arabic,2243_dewlapbeardthroat,γabγab-,ɣabɣab-,ɣ a b ɣ a b,,,1703,,^ ɣ a b ɣ a b - $,default
ps-2244_chestbosom-1,,ps,2244_chestbosom,*ḥubb- (or *ḥawb-),ħubb-,ħ u b b,,,1705,,^ ħ u b b - $,default
hebrew-2241_bosom-1,,hebrew,2241_bosom,ḥōb,ħoːb,ħ oː b,,,1705,,^ ħ oː b $,default
arabic-2245_chest-1,,arabic,2245_chest,ḥawbāˀ-,ħawbaːʔ-,ħ a w b aː ʔ,,,1705,,^ ħ a w b aː ʔ - $,default
ps-2246_whelpcub-1,,ps,2246_whelpcub,"*gūr-, *gury/w-",guːr-,g uː r,,,1706,,^ g uː r - $,default
hebrew-2247_cublionjackal-1,,hebrew,2247_cublionjackal,gūr,guːr,g uː r,,,1706,,^ g uː r $,default
syriac-2248_whelpofaliondogpigsnake-1,,syriac,2248_whelpofaliondogpigsnake,guryā,gurjaː,g u r j aː,,,1706,,^ g u r j aː $,default
arabic-2249_petitdechiendelionoudetouteautrebetecarnassierewhelpofadoglionoranyothercarnivorousanimal-1,,arabic,2249_petitdechiendelionoudetouteautrebetecarnassierewhelpofadoglionoranyothercarnivorousanimal,"ǯarw-, ǯirw-, ǯurw",garw-,g a r w,,,1706,,^ g a r w - $,default
ps-2250_kindofmouserat-1,,ps,2250_kindofmouserat,*ŝVm-,ɬ-m-,ɬ m,,,1707,,^ ɬ - m - $,default
akkadian-2251_dormouse-1,,akkadian,2251_dormouse,ušummu,uʃummu,u ʃ u m m u,,,1707,,^ u ʃ u m m u $,default
