ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ps-1_dog-1,,ps,1_dog,*kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
akkadian-1_dog-1,,akkadian,1_dog,kalbu,kalbu,k a l b u,,,1,,^ k a l b u $,default
ugaritic-1_dog-1,,ugaritic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
hebrew-1_dog-1,,hebrew,1_dog,käläb,kælæb,k æ l æ b,,,1,,^ k æ l æ b $,default
syriac-1_dog-1,,syriac,1_dog,kalbā,kalbaː,k a l b aː,,,1,,^ k a l b aː $,default
arabic-1_dog-1,,arabic,1_dog,kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
geez-1_dog-1,,geez,1_dog,kalb,kalb,k a l b,,,1,,^ k a l b $,default
ps-2_all-1,,ps,2_all,*kal-/*kull-,kal-,k a l,,,2,,^ k a l - $,default
akkadian-2_all-1,,akkadian,2_all,kalû,kalû,k a l û,,,2,,^ k a l û $,default
ugaritic-2_all-1,,ugaritic,2_all,kl,kl,k l,,,2,,^ k l $,default
hebrew-3_allthewholeeveryone-1,,hebrew,3_allthewholeeveryone,kōl,koːl,k oː l,,,2,,^ k oː l $,default
syriac-4_alleverysomuch-1,,syriac,4_alleverysomuch,kul,kul,k u l,,,2,,^ k u l $,default
arabic-5_allanyone-1,,arabic,5_allanyone,kull-,kull-,k u l l,,,2,,^ k u l l - $,default
geez-2_all-1,,geez,2_all,kʷəll,kʷəll,kʷ ə l l,,,2,,^ kʷ ə l l $,default
ps-6_toassemble-1,,ps,6_toassemble,*pḫr,pxr,p x r,,,3,,^ p x r $,default
akkadian-7_toassembletocongregatetogathercollect-1,,akkadian,7_toassembletocongregatetogathercollect,paḫāru,paxaːru,p a x aː r u,,,3,,^ p a x aː r u $,default
ugaritic-8_assembly-1,,ugaritic,8_assembly,pḫr,pxr,p x r,,,3,,^ p x r $,default
ugaritic-9_wholetotality-1,,ugaritic,9_wholetotality,pḫyr,pxjr,p x j r,,,3,,^ p x j r $,default
syriac-10_banquet-1,,syriac,10_banquet,puḥrā,puħraː,p u ħ r aː,,,3,,^ p u ħ r aː $,default
arabic-11_toboasttoglory-1,,arabic,11_toboasttoglory,fḫr,fxr,f x r,,,3,,^ f x r $,default
arabic-12_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein-1,,arabic,12_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein,faḫūr-,faxuːr-,f a x uː r,,,3,,^ f a x uː r - $,default
geez-13_toengagetobetrothtoespouse-1,,geez,13_toengagetobetrothtoespouse,faḫara,faxara,f a x a r a,,,3,,^ f a x a r a $,default
ps-14_tobite-1,,ps,14_tobite,*nṯk/*nkṯ,nθk,n θ k,,,4,,^ n θ k $,default
akkadian-14_tobite-1,,akkadian,14_tobite,našāku,naʃaːku,n a ʃ aː k u,,,4,,^ n a ʃ aː k u $,default
ugaritic-14_tobite-1,,ugaritic,14_tobite,nṯk,nθk,n θ k,,,4,,^ n θ k $,default
hebrew-14_tobite-1,,hebrew,14_tobite,nšk,nʃk,n ʃ k,,,4,,^ n ʃ k $,default
syriac-15_tobitetoinciteprovoke-1,,syriac,15_tobitetoinciteprovoke,nkt,nkt,n k t,,,4,,^ n k t $,default
arabic-16_toundotountwisttodissolvetobreakacovenant-1,,arabic,16_toundotountwisttodissolvetobreakacovenant,nkṯ,nkθ,n k θ,,,4,,^ n k θ $,default
geez-14_tobite-1,,geez,14_tobite,nasaka,nasaka,n a s a k a,,,4,,^ n a s a k a $,default
ps-17_blood-1,,ps,17_blood,"*dam-, *ˀa-dam-",dam-,d a m,,,5,,^ d a m - $,default
akkadian-17_blood-1,,akkadian,17_blood,damu,damu,d a m u,,,5,,^ d a m u $,default
ugaritic-17_blood-1,,ugaritic,17_blood,dm,dm,d m,,,5,,^ d m $,default
hebrew-17_blood-1,,hebrew,17_blood,dām,daːm,d aː m,,,5,,^ d aː m $,default
syriac-17_blood-1,,syriac,17_blood,dmā,dmaː,d m aː,,,5,,^ d m aː $,default
arabic-17_blood-1,,arabic,17_blood,dam­-,dam-,d a m,,,5,,^ d a m - $,default
geez-17_blood-1,,geez,17_blood,dam,dam,d a m,,,5,,^ d a m $,default
ps-18_todie-1,,ps,18_todie,*mwt,mwt,m w t,,,6,,^ m w t $,default
akkadian-18_todie-1,,akkadian,18_todie,mâtu,mâtu,m â t u,,,6,,^ m â t u $,default
ugaritic-18_todie-1,,ugaritic,18_todie,mt,mt,m t,,,6,,^ m t $,default
hebrew-18_todie-1,,hebrew,18_todie,mwt,mwt,m w t,,,6,,^ m w t $,default
syriac-18_todie-1,,syriac,18_todie,mwt,mwt,m w t,,,6,,^ m w t $,default
geez-18_todie-1,,geez,18_todie,mota,mota,m o t a,,,6,,^ m o t a $,default
ps-19_todrink-1,,ps,19_todrink,*šty,ʃtj,ʃ t j,,,7,,^ ʃ t j $,default
akkadian-19_todrink-1,,akkadian,19_todrink,šatû,ʃatû,ʃ a t û,,,7,,^ ʃ a t û $,default
ugaritic-19_todrink-1,,ugaritic,19_todrink,šty,ʃtj,ʃ t j,,,7,,^ ʃ t j $,default
hebrew-19_todrink-1,,hebrew,19_todrink,šty,ʃtj,ʃ t j,,,7,,^ ʃ t j $,default
syriac-20_todrinktobewateredtobeirrigated-1,,syriac,20_todrinktobewateredtobeirrigated,šty,ʃtj,ʃ t j,,,7,,^ ʃ t j $,default
syriac-19_todrink-1,,syriac,19_todrink,šty,ʃtj,ʃ t j,,,7,,^ ʃ t j $,default
geez-19_todrink-1,,geez,19_todrink,satya,satja,s a t j a,,,7,,^ s a t j a $,default
ps-21_toirrigatetoquenchonesthirst-1,,ps,21_toirrigatetoquenchonesthirst,*šḳy,ʃqˤj,ʃ qˤ j,,,9,,^ ʃ qˤ j $,default
akkadian-22_togivedrinktowatertoirrigate-1,,akkadian,22_togivedrinktowatertoirrigate,šaḳû,ʃaqˤû,ʃ a qˤ û,,,9,,^ ʃ a qˤ û $,default
hebrew-23_niphiptoprovidedrinkfortoirrigate-1,,hebrew,23_niphiptoprovidedrinkfortoirrigate,šḳy,ʃqˤj,ʃ qˤ j,,,9,,^ ʃ qˤ j $,default
syriac-24_aphtogivedrinktoirrigate-1,,syriac,24_aphtogivedrinktoirrigate,šḳy,ʃqˤj,ʃ qˤ j,,,9,,^ ʃ qˤ j $,default
geez-25_toprovideenoughwater-1,,geez,25_toprovideenoughwater,saḳaya,saqˤaja,s a qˤ a j a,,,9,,^ s a qˤ a j a $,default
ps-26_nailclaw-1,,ps,26_nailclaw,*ṯ̣ipr-,θˤipr-,θˤ i p r,,,10,,^ θˤ i p r - $,default
akkadian-27_claw-1,,akkadian,27_claw,ṣupru,sˤupru,sˤ u p r u,,,10,,^ sˤ u p r u $,default
hebrew-28_nail-1,,hebrew,28_nail,ṣippōrän,sˤippoːræn,sˤ i p p oː r æ n,,,10,,^ sˤ i p p oː r æ n $,default
syriac-29_nailclawtalon-1,,syriac,29_nailclawtalon,ṭeprā,tˤepraː,tˤ e p r aː,,,10,,^ tˤ e p r aː $,default
arabic-28_nail-1,,arabic,28_nail,ḏ̣ifr-,ðˤifr-,ðˤ i f r,,,10,,^ ðˤ i f r - $,default
geez-27_claw-1,,geez,27_claw,ṣəfr,sˤəfr,sˤ ə f r,,,10,,^ sˤ ə f r $,default
ps-30_ear-1,,ps,30_ear,*ˀuḏn-,ʔuðn-,ʔ u ð n,,,14,,^ ʔ u ð n - $,default
akkadian-30_ear-1,,akkadian,30_ear,uznu,uznu,u z n u,,,14,,^ u z n u $,default
ugaritic-30_ear-1,,ugaritic,30_ear,ˀudn,ʔudn,ʔ u d n,,,14,,^ ʔ u d n $,default
hebrew-30_ear-1,,hebrew,30_ear,ˀōzän,ʔoːzæn,ʔ oː z æ n,,,14,,^ ʔ oː z æ n $,default
syriac-31_earbayoftheseahandleopeningofabottle-1,,syriac,31_earbayoftheseahandleopeningofabottle,ˀednā,ʔednaː,ʔ e d n aː,,,14,,^ ʔ e d n aː $,default
arabic-30_ear-1,,arabic,30_ear,ˀuḏn-,ʔuðn-,ʔ u ð n,,,14,,^ ʔ u ð n - $,default
geez-30_ear-1,,geez,30_ear,ˀəzn,ʔəzn,ʔ ə z n,,,14,,^ ʔ ə z n $,default
ps-32_toeat-1,,ps,32_toeat,*ˀkl,ʔkl,ʔ k l,,,15,,^ ʔ k l $,default
akkadian-32_toeat-1,,akkadian,32_toeat,akālu,akaːlu,a k aː l u,,,15,,^ a k aː l u $,default
ugaritic-33_toconsumetodevour-1,,ugaritic,33_toconsumetodevour,ˀkl,ʔkl,ʔ k l,,,15,,^ ʔ k l $,default
hebrew-32_toeat-1,,hebrew,32_toeat,ˀkl,ʔkl,ʔ k l,,,15,,^ ʔ k l $,default
syriac-34_toeattoconsumetoitch-1,,syriac,34_toeattoconsumetoitch,ˀkl,ʔkl,ʔ k l,,,15,,^ ʔ k l $,default
arabic-32_toeat-1,,arabic,32_toeat,ˀkl,ʔkl,ʔ k l,,,15,,^ ʔ k l $,default
ps-35_foodbreadgrain-1,,ps,35_foodbreadgrain,*ˀukl-/*ˀikl-,ʔukl-,ʔ u k l,,,17,,^ ʔ u k l - $,default
akkadian-36_bread-1,,akkadian,36_bread,akalu,akalu,a k a l u,,,17,,^ a k a l u $,default
ugaritic-37_grainfodder-1,,ugaritic,37_grainfodder,ˀakl,ʔakl,ʔ a k l,,,17,,^ ʔ a k l $,default
geez-38_foodbreadcorn-1,,geez,38_foodbreadcorn,ˀəkl,ʔəkl,ʔ ə k l,,,17,,^ ʔ ə k l $,default
ps-39_eye-1,,ps,39_eye,*ˁayn-,ʕajn-,ʕ a j n,,,19,,^ ʕ a j n - $,default
akkadian-39_eye-1,,akkadian,39_eye,īnu,iːnu,iː n u,,,19,,^ iː n u $,default
ugaritic-39_eye-1,,ugaritic,39_eye,ˁn,ʕn,ʕ n,,,19,,^ ʕ n $,default
ugaritic-40_tosee-1,,ugaritic,40_tosee,ˁn,ʕn,ʕ n,,,19,,^ ʕ n $,default
hebrew-41_eyeappearancelookspring-1,,hebrew,41_eyeappearancelookspring,ˁayin,ʕajin,ʕ a j i n,,,19,,^ ʕ a j i n $,default
syriac-42_eyespringbudbulbappearancesurface-1,,syriac,42_eyespringbudbulbappearancesurface,ˁaynā,ʕajnaː,ʕ a j n aː,,,19,,^ ʕ a j n aː $,default
arabic-39_eye-1,,arabic,39_eye,ˁayn-,ʕajn-,ʕ a j n,,,19,,^ ʕ a j n - $,default
geez-39_eye-1,,geez,39_eye,ˁayn,ʕajn,ʕ a j n,,,19,,^ ʕ a j n $,default
ps-43_full-1,,ps,43_full,*mlˀ,mlʔ,m l ʔ,,,20,,^ m l ʔ $,default
akkadian-44_fullcoveredcomplete-1,,akkadian,44_fullcoveredcomplete,malû,malû,m a l û,,,20,,^ m a l û $,default
ugaritic-43_full-1,,ugaritic,43_full,mlˀ,mlʔ,m l ʔ,,,20,,^ m l ʔ $,default
hebrew-43_full-1,,hebrew,43_full,mālē(ˀ),maːleː,m aː l eː,,,20,,^ m aː l eː $,default
syriac-43_full-1,,syriac,43_full,mle,mle,m l e,,,20,,^ m l e $,default
syriac-45_tofillup-1,,syriac,45_tofillup,mly,mlj,m l j,,,20,,^ m l j $,default
geez-43_full-1,,geez,43_full,məluˀ,məluʔ,m ə l u ʔ,,,20,,^ m ə l u ʔ $,default
ps-46_hair-1,,ps,46_hair,*ŝaˁr-,ɬaʕr-,ɬ a ʕ r,,,21,,^ ɬ a ʕ r - $,default
akkadian-46_hair-1,,akkadian,46_hair,šārtu,ʃaːrtu,ʃ aː r t u,,,21,,^ ʃ aː r t u $,default
ugaritic-47_wool-1,,ugaritic,47_wool,šˁrt,ʃʕrt,ʃ ʕ r t,,,21,,^ ʃ ʕ r t $,default
hebrew-48_hairinessbodyhairhairycovering-1,,hebrew,48_hairinessbodyhairhairycovering,ŝēˁār,ɬeːʕaːr,ɬ eː ʕ aː r,,,21,,^ ɬ eː ʕ aː r $,default
syriac-49_hairfeathers-1,,syriac,49_hairfeathers,saˁrā,saʕraː,s a ʕ r aː,,,21,,^ s a ʕ r aː $,default
arabic-46_hair-1,,arabic,46_hair,šaˁr-,ʃaʕr-,ʃ a ʕ r,,,21,,^ ʃ a ʕ r - $,default
geez-50_hairofbodyorhead-1,,geez,50_hairofbodyorhead,ŝəˁərt,ɬəʕərt,ɬ ə ʕ ə r t,,,21,,^ ɬ ə ʕ ə r t $,default
ps-51_hand-1,,ps,51_hand,*yad-,jad-,j a d,,,23,,^ j a d - $,default
akkadian-52_armsideedgeborder-1,,akkadian,52_armsideedgeborder,idu,idu,i d u,,,23,,^ i d u $,default
ugaritic-51_hand-1,,ugaritic,51_hand,yd,jd,j d,,,23,,^ j d $,default
hebrew-53_forearmhandpowerviolencepossession-1,,hebrew,53_forearmhandpowerviolencepossession,yād,jaːd,j aː d,,,23,,^ j aː d $,default
syriac-54_handarmforepawpower-1,,syriac,54_handarmforepawpower,ˀidā,ʔidaː,ʔ i d aː,,,23,,^ ʔ i d aː $,default
geez-51_hand-1,,geez,51_hand,ˀəd,ʔəd,ʔ ə d,,,23,,^ ʔ ə d $,default
ps-55_head-1,,ps,55_head,*raˀš-,raʔʃ-,r a ʔ ʃ,,,24,,^ r a ʔ ʃ - $,default
akkadian-56_headservantslavetopsummitbeginning-1,,akkadian,56_headservantslavetopsummitbeginning,rēšu,reːʃu,r eː ʃ u,,,24,,^ r eː ʃ u $,default
ugaritic-55_head-1,,ugaritic,55_head,rˀiš,rʔiʃ,r ʔ i ʃ,,,24,,^ r ʔ i ʃ $,default
hebrew-57_headpersonbeginningleaderchief-1,,hebrew,57_headpersonbeginningleaderchief,rō(ˀ)š,roːʃ,r oː ʃ,,,24,,^ r oː ʃ $,default
syriac-58_headtopsummitpointbeginning-1,,syriac,58_headtopsummitpointbeginning,rešā,reʃaː,r e ʃ aː,,,24,,^ r e ʃ aː $,default
arabic-55_head-1,,arabic,55_head,raˀs­-,raʔs-,r a ʔ s,,,24,,^ r a ʔ s - $,default
geez-55_head-1,,geez,55_head,rəˀs,rəʔs,r ə ʔ s,,,24,,^ r ə ʔ s $,default
ps-59_skull-1,,ps,59_skull,*ḳVdḳVd-,qˤ-dqˤ-d-,qˤ d qˤ d,,,25,,^ qˤ - d qˤ - d - $,default
akkadian-55_head-1,,akkadian,55_head,ḳaḳḳadu,qˤaqˤqˤadu,qˤ a qˤ qˤ a d u,,,25,,^ qˤ a qˤ qˤ a d u $,default
ugaritic-60_skullcrown-1,,ugaritic,60_skullcrown,ḳdḳd,qˤdqˤd,qˤ d qˤ d,,,25,,^ qˤ d qˤ d $,default
hebrew-59_skull-1,,hebrew,59_skull,ḳodḳōd,qˤodqˤoːd,qˤ o d qˤ oː d,,,25,,^ qˤ o d qˤ oː d $,default
arabic-61_partofthebackoftheneckthatisbetweentheears-1,,arabic,61_partofthebackoftheneckthatisbetweentheears,"maqadd-, muqadd­-",maqadd-,m a q a d d,,,25,,^ m a q a d d - $,default
ps-62_tohear-1,,ps,62_tohear,*šmˁ,ʃmʕ,ʃ m ʕ,,,26,,^ ʃ m ʕ $,default
akkadian-63_toheartolistentoobey-1,,akkadian,63_toheartolistentoobey,šemû,ʃemû,ʃ e m û,,,26,,^ ʃ e m û $,default
ugaritic-62_tohear-1,,ugaritic,62_tohear,šmˁ,ʃmʕ,ʃ m ʕ,,,26,,^ ʃ m ʕ $,default
hebrew-64_toheartoobeytounderstand-1,,hebrew,64_toheartoobeytounderstand,šmˁ,ʃmʕ,ʃ m ʕ,,,26,,^ ʃ m ʕ $,default
syriac-65_tohearlistentotohearkentoobey-1,,syriac,65_tohearlistentotohearkentoobey,šmˁ,ʃmʕ,ʃ m ʕ,,,26,,^ ʃ m ʕ $,default
geez-62_tohear-1,,geez,62_tohear,samˁa,samʕa,s a m ʕ a,,,26,,^ s a m ʕ a $,default
ps-66_heart-1,,ps,66_heart,*libb-,libb-,l i b b,,,27,,^ l i b b - $,default
akkadian-66_heart-1,,akkadian,66_heart,libbu,libbu,l i b b u,,,27,,^ l i b b u $,default
ugaritic-66_heart-1,,ugaritic,66_heart,lb,lb,l b,,,27,,^ l b $,default
hebrew-67_heartonesinnerselfinclinationdispositionwillintentionreason-1,,hebrew,67_heartonesinnerselfinclinationdispositionwillintentionreason,lēb,leːb,l eː b,,,27,,^ l eː b $,default
syriac-68_heartinsideofthebodycenterpithinsidecake-1,,syriac,68_heartinsideofthebodycenterpithinsidecake,lebbā,lebbaː,l e b b aː,,,27,,^ l e b b aː $,default
arabic-69_whatisintheinsideunderstandingintelligencemind-1,,arabic,69_whatisintheinsideunderstandingintelligencemind,lubb-,lubb-,l u b b,,,27,,^ l u b b - $,default
geez-70_heartmind-1,,geez,70_heartmind,ləbb,ləbb,l ə b b,,,27,,^ l ə b b $,default
ps-71_heartmiddleofthebody-1,,ps,71_heartmiddleofthebody,*ḳalb-/*ḳabl-,qˤalb-,qˤ a l b,,,28,,^ qˤ a l b - $,default
akkadian-72_middlecentermiddlepart-1,,akkadian,72_middlecentermiddlepart,ḳablu,qˤablu,qˤ a b l u,,,28,,^ qˤ a b l u $,default
arabic-66_heart-1,,arabic,66_heart,qalb-,qalb-,q a l b,,,28,,^ q a l b - $,default
geez-73_thoughtwish-1,,geez,73_thoughtwish,ḳalb,qˤalb,qˤ a l b,,,28,,^ qˤ a l b $,default
ps-74_horn-1,,ps,74_horn,*ḳarn-,qˤarn-,qˤ a r n,,,29,,^ qˤ a r n - $,default
akkadian-74_horn-1,,akkadian,74_horn,ḳarnu,qˤarnu,qˤ a r n u,,,29,,^ qˤ a r n u $,default
ugaritic-74_horn-1,,ugaritic,74_horn,ḳrn,qˤrn,qˤ r n,,,29,,^ qˤ r n $,default
hebrew-74_horn-1,,hebrew,74_horn,ḳärän,qˤæræn,qˤ æ r æ n,,,29,,^ qˤ æ r æ n $,default
syriac-74_horn-1,,syriac,74_horn,ḳarnā,qˤarnaː,qˤ a r n aː,,,29,,^ qˤ a r n aː $,default
arabic-74_horn-1,,arabic,74_horn,qarn-,qarn-,q a r n,,,29,,^ q a r n - $,default
geez-74_horn-1,,geez,74_horn,ḳarn,qˤarn,qˤ a r n,,,29,,^ qˤ a r n $,default
ps-75_i-1,,ps,75_i,*ˀanāku/ˀanV,ʔanaːku,ʔ a n aː k u,,,30,,^ ʔ a n aː k u $,default
akkadian-75_i-1,,akkadian,75_i,anāku,anaːku,a n aː k u,,,30,,^ a n aː k u $,default
ugaritic-75_i-1,,ugaritic,75_i,"ˀan, ˀank",ʔan,ʔ a n,,,30,,^ ʔ a n $,default
hebrew-75_i-1,,hebrew,75_i,ˀănī,ʔăniː,ʔ ă n iː,,,30,,^ ʔ ă n iː $,default
hebrew-75_i-2,,hebrew,75_i,ˀānōkī,ʔaːnoːkiː,ʔ aː n oː k iː,,,30,,^ ʔ aː n oː k iː $,default
syriac-75_i-1,,syriac,75_i,ˀenā,ʔenaː,ʔ e n aː,,,30,,^ ʔ e n aː $,default
arabic-75_i-1,,arabic,75_i,ˀana,ʔana,ʔ a n a,,,30,,^ ʔ a n a $,default
geez-75_i-1,,geez,75_i,ˀana,ʔana,ʔ a n a,,,30,,^ ʔ a n a $,default
ps-76_knee-1,,ps,76_knee,*bi/ark-,bi,b i,,,31,,^ b i $,default
akkadian-77_kneelap-1,,akkadian,77_kneelap,"birku, burku",birku,b i r k u,,,31,,^ b i r k u $,default
ugaritic-76_knee-1,,ugaritic,76_knee,brk,brk,b r k,,,31,,^ b r k $,default
hebrew-76_knee-1,,hebrew,76_knee,bäräk,bæræk,b æ r æ k,,,31,,^ b æ r æ k $,default
syriac-78_kneebowingdowngenuflectionmiddlepartofplow-1,,syriac,78_kneebowingdowngenuflectionmiddlepartofplow,burkā,burkaː,b u r k aː,,,31,,^ b u r k aː $,default
arabic-79_tokneel-1,,arabic,79_tokneel,bārikat-­,baːrikat-,b aː r i k a t,,,31,,^ b aː r i k a t - $,default
geez-76_knee-1,,geez,76_knee,bərk,bərk,b ə r k,,,31,,^ b ə r k $,default
ps-80_liver-1,,ps,80_liver,*kabid-,kabid-,k a b i d,,,33,,^ k a b i d - $,default
akkadian-81_emotionsthoughtmindspirit-1,,akkadian,81_emotionsthoughtmindspirit,kabattu,kabattu,k a b a t t u,,,33,,^ k a b a t t u $,default
ugaritic-80_liver-1,,ugaritic,80_liver,kbd,kbd,k b d,,,33,,^ k b d $,default
hebrew-80_liver-1,,hebrew,80_liver,kābēd,kaːbeːd,k aː b eː d,,,33,,^ k aː b eː d $,default
syriac-82_liveranger-1,,syriac,82_liveranger,kabdā,kabdaː,k a b d aː,,,33,,^ k a b d aː $,default
arabic-83_middleinterior-1,,arabic,83_middleinterior,kabid-,kabid-,k a b i d,,,33,,^ k a b i d - $,default
geez-84_liverstomachbelly-1,,geez,84_liverstomachbelly,kabd,kabd,k a b d,,,33,,^ k a b d $,default
ps-85_intestinesentrails-1,,ps,85_intestinesentrails,*mVˁay-,m-ʕaj-,m ʕ a j,,,34,,^ m - ʕ a j - $,default
akkadian-86_liverexaminedbytheharuspexlivermodelomen-1,,akkadian,86_liverexaminedbytheharuspexlivermodelomen,amūtu,amuːtu,a m uː t u,,,34,,^ a m uː t u $,default
hebrew-87_entrailsintestines-1,,hebrew,87_entrailsintestines,mēˁayim,meːʕajim,m eː ʕ a j i m,,,34,,^ m eː ʕ a j i m $,default
syriac-88_intestines-1,,syriac,88_intestines,məˁūṯā,məʕuːθaː,m ə ʕ uː θ aː,,,34,,^ m ə ʕ uː θ aː $,default
syriac-88_intestines-2,,syriac,88_intestines,məˁayyā,məʕajjaː,m ə ʕ a j j aː,,,34,,^ m ə ʕ a j j aː $,default
arabic-88_intestines-1,,arabic,88_intestines,"maˁy-, maˁan",maʕj-,m a ʕ j,,,34,,^ m a ʕ j - $,default
geez-89_intestine-1,,geez,89_intestine,ˀamāˁut,ʔamaːʕut,ʔ a m aː ʕ u t,,,34,,^ ʔ a m aː ʕ u t $,default
ps-90_mouth-1,,ps,90_mouth,*pay-,paj-,p a j,,,35,,^ p a j - $,default
akkadian-90_mouth-1,,akkadian,90_mouth,pû,pû,p û,,,35,,^ p û $,default
ugaritic-90_mouth-1,,ugaritic,90_mouth,p,p,p,,,35,,^ p $,default
hebrew-91_mouthopening-1,,hebrew,91_mouthopening,pǟ,pæː,p æː,,,35,,^ p æː $,default
syriac-92_mouthopeningfleshoffruitsharpedgeofsword-1,,syriac,92_mouthopeningfleshoffruitsharpedgeofsword,pūmā,puːmaː,p uː m aː,,,35,,^ p uː m aː $,default
arabic-90_mouth-1,,arabic,90_mouth,fam-,fam-,f a m,,,35,,^ f a m - $,default
geez-90_mouth-1,,geez,90_mouth,ˀaf,ʔaf,ʔ a f,,,35,,^ ʔ a f $,default
ps-93_name-1,,ps,93_name,*šVm-,ʃ-m-,ʃ m,,,37,,^ ʃ - m - $,default
akkadian-93_name-1,,akkadian,93_name,šumu,ʃumu,ʃ u m u,,,37,,^ ʃ u m u $,default
ugaritic-93_name-1,,ugaritic,93_name,šm,ʃm,ʃ m,,,37,,^ ʃ m $,default
hebrew-93_name-1,,hebrew,93_name,šēm,ʃeːm,ʃ eː m,,,37,,^ ʃ eː m $,default
syriac-94_namefamegloryperson-1,,syriac,94_namefamegloryperson,šmā,ʃmaː,ʃ m aː,,,37,,^ ʃ m aː $,default
arabic-93_name-1,,arabic,93_name,ˀism-,ʔism-,ʔ i s m,,,37,,^ ʔ i s m - $,default
geez-93_name-1,,geez,93_name,səm,səm,s ə m,,,37,,^ s ə m $,default
ps-95_new-1,,ps,95_new,*ḥdṯ,ħdθ,ħ d θ,,,38,,^ ħ d θ $,default
akkadian-95_new-1,,akkadian,95_new,eššu,eʃʃu,e ʃ ʃ u,,,38,,^ e ʃ ʃ u $,default
ugaritic-95_new-1,,ugaritic,95_new,ḥdṯ,ħdθ,ħ d θ,,,38,,^ ħ d θ $,default
hebrew-95_new-1,,hebrew,95_new,ḥādāš,ħaːdaːʃ,ħ aː d aː ʃ,,,38,,^ ħ aː d aː ʃ $,default
syriac-96_newyoung-1,,syriac,96_newyoung,ḥatā,ħataː,ħ a t aː,,,38,,^ ħ a t aː $,default
arabic-95_new-1,,arabic,95_new,ḥadīṯ-,ħadiːθ-,ħ a d iː θ,,,38,,^ ħ a d iː θ - $,default
geez-95_new-1,,geez,95_new,ḥaddis,ħaddis,ħ a d d i s,,,38,,^ ħ a d d i s $,default
ps-97_tocuttomakeanincision-1,,ps,97_tocuttomakeanincision,*gdd,gdd,g d d,,,39,,^ g d d $,default
akkadian-98_tochop-1,,akkadian,98_tochop,gadādu,gadaːdu,g a d aː d u,,,39,,^ g a d aː d u $,default
hebrew-99_tomakeincisionsupononeself-1,,hebrew,99_tomakeincisionsupononeself,gdd,gdd,g d d,,,39,,^ g d d $,default
syriac-100_tocutoff-1,,syriac,100_tocutoff,gdd,gdd,g d d,,,39,,^ g d d $,default
arabic-101_tocuttocutoff-1,,arabic,101_tocuttocutoff,ǯdd,gdd,g d d,,,39,,^ g d d $,default
ps-102_night-1,,ps,102_night,*layliy(-at)-,lajlij-,l a j l i j,,,42,,^ l a j l i j - $,default
akkadian-103_evening-1,,akkadian,103_evening,līlâtu,liːlâtu,l iː l â t u,,,42,,^ l iː l â t u $,default
akkadian-104_toliedown-1,,akkadian,104_toliedown,niālu,niaːlu,n i aː l u,,,42,,^ n i aː l u $,default
ugaritic-102_night-1,,ugaritic,102_night,ll,ll,l l,,,42,,^ l l $,default
hebrew-102_night-1,,hebrew,102_night,layil,lajil,l a j i l,,,42,,^ l a j i l $,default
syriac-102_night-1,,syriac,102_night,lelyā,leljaː,l e l j aː,,,42,,^ l e l j aː $,default
arabic-102_night-1,,arabic,102_night,"layl-, laylat-",lajl-,l a j l,,,42,,^ l a j l - $,default
geez-102_night-1,,geez,102_night,lelit,lelit,l e l i t,,,42,,^ l e l i t $,default
ps-103_evening-1,,ps,103_evening,*mušy(-at)-,muʃj-,m u ʃ j,,,43,,^ m u ʃ j - $,default
akkadian-102_night-1,,akkadian,102_night,mušītu,muʃiːtu,m u ʃ iː t u,,,43,,^ m u ʃ iː t u $,default
akkadian-102_night-2,,akkadian,102_night,mūšu,muːʃu,m uː ʃ u,,,43,,^ m uː ʃ u $,default
arabic-103_evening-1,,arabic,103_evening,"musy-, masāˀ-",musj-,m u s j,,,43,,^ m u s j - $,default
geez-103_evening-1,,geez,103_evening,"məset, məsyat",məset,m ə s e t,,,43,,^ m ə s e t $,default
ps-105_bone-1,,ps,105_bone,*ˁaṯ̣m-,ʕaθˤm-,ʕ a θˤ m,,,44,,^ ʕ a θˤ m - $,default
akkadian-105_bone-1,,akkadian,105_bone,eṣemtu,esˤemtu,e sˤ e m t u,,,44,,^ e sˤ e m t u $,default
ugaritic-105_bone-1,,ugaritic,105_bone,ˁṯ̣m,ʕθˤm,ʕ θˤ m,,,44,,^ ʕ θˤ m $,default
hebrew-105_bone-1,,hebrew,105_bone,ˁäṣäm,ʕæsˤæm,ʕ æ sˤ æ m,,,44,,^ ʕ æ sˤ æ m $,default
syriac-106_flankthighinnermostpartfamilyrace-1,,syriac,106_flankthighinnermostpartfamilyrace,ˁaṭmā,ʕatˤmaː,ʕ a tˤ m aː,,,44,,^ ʕ a tˤ m aː $,default
syriac-105_bone-1,,syriac,105_bone,ṭm,tˤm,tˤ m,,,44,,^ tˤ m $,default
