ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
1,Proto-Semitic,NA,-at-,,,
2,Akkadian,NA,-𒌈,,,
3,Gulf_Arabic,NA,ـة,,,
4,Maltese,NA,-a,,,
5,Classical_Syriac,NA,ـܬܳܐ,,,
6,Classical_Syriac,NA,ـܻܝܬܳܐ,,,
7,Classical_Syriac,NA,ـܽܘܬܳܐ,,,
8,Yiddish,NA,־ה,,,
9,Hebrew,NA,־ִית,,,
10,Yiddish,NA,־ות,,,
11,Proto-Semitic,NA,-ay-,,,
12,Arabic,NA,ـَى,,,
13,Classical_Syriac,NA,ـܰܝܳܐ,,,
14,Proto-Semitic,NA,baraḳ-,,,
15,Akkadian,NA,𒉏𒄈,,,
16,Hijazi_Arabic,NA,برق,,,
17,Maltese,NA,beraq,,,
18,Moroccan_Arabic,NA,برق,,,
19,South_Levantine_Arabic,NA,برق,,,
20,Ottoman_Turkish,NA,برق,,,
21,Persian,NA,برق,,,
22,Classical_Mandaic,NA,ࡁࡉࡓࡒࡀ,,,
23,Classical_Syriac,NA,ܒܱ݁ܪܩܳܐ,,,
24,Hebrew,NA,בָּרָק,,,
25,Punic,NA,𐤁𐤓𐤒,,,
26,Ugaritic,NA,𐎁𐎗𐎖,,,
27,Old_South_Arabian,NA,𐩨𐩧𐩤,,,
28,Amharic,NA,በርቅ,,,
29,Ge'ez,NA,በርቅ,,,
30,Tigrinya,NA,በርቂ,,,
31,Tigre,NA,በርቅ,,,
32,Mehri,NA,bōreq,,,
33,Shehri,NA,barq,,,
34,Soqotri,NA,barq,,,
35,Coptic,NA,ⲉⲃⲣⲏϭⲉ,,,
36,Proto-Semitic,NA,barr-,,,
37,Akkadian,NA,𒁉𒊒𒌑,,,
38,Arabic,NA,بَرّ,,,
39,Classical_Syriac,NA,ܒܱ݁ܪܴ݁ܐ,,,
40,Hebrew,NA,בַּר,,,
41,Old_South_Arabian,NA,𐩨𐩧,,,
42,Tigre,NA,ባር,,,
43,Proto-Semitic,NA,batūl-,,,
44,Turkish,NA,Betül,,,
